date,equity,dd,deepening,regime,chop_score
2026-05-05,1028.3799714552872,-320.1310666516274,16.61605632162582,normal,0.5394381170459102
2026-05-06,1053.3196824200218,-295.19135568689285,0,whipsaw,0.43195386633723815
2026-05-07,1022.7237186080455,-325.7873194988691,30.595963811976276,whipsaw,0.44349871201340796
2026-05-08,1011.2477778226125,-337.2632602843021,11.475940785432954,normal,0.5604698609593287
2026-05-11,984.7544217098828,-363.75661639703185,26.49335611272977,normal,0.4862780722393171
2026-05-12,1018.8654925883242,-329.64554551859044,0,whipsaw,0.4507483471491519
2026-05-13,995.8219598160331,-352.6890782908815,23.043532772291087,whipsaw,0.43027004440940453
2026-05-14,970.2614979768786,-378.24954013003605,25.560461839154527,normal,0.4666493555301589
2026-05-15,947.3319935063655,-401.1790446005491,22.929504470513052,normal,0.4577404792303668
2026-05-18,941.3019147777976,-407.209123329117,6.030078728567901,whipsaw,0.4495823800737782
2026-05-19,925.1309303703662,-423.38010773654844,16.170984407431433,normal,0.5126951137418576
2026-05-20,899.4171901539185,-449.09384795299616,25.713740216447718,normal,0.5779355449552717
2026-05-21,931.2079023559166,-417.30313575099797,0,normal,0.5329493727313173
2026-05-22,927.302487786142,-421.2085503207726,3.9054145697746208,normal,0.46443528708899945
2026-05-25,951.6603564554503,-396.85068165146436,0,whipsaw,0.45063538096659755
2026-05-26,899.4779077835627,-449.0331303233519,52.18244867188753,whipsaw,0.4224543685073792
2026-05-27,801.0209889415066,-547.490049165408,98.4569188420561,normal,0.6612400770853079
2026-05-29,826.449983523759,-522.0610545831556,0,normal,0.6388800489233957
