,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
CROMPTON-POLYCAB,,,-1.6595496358518302,-0.5921271372424473,,,,,,
VOLTAS-POLYCAB,,,,,,,,,,-3.2259202561390987
POLYCAB-KEI,,,,,,,,,,3.6307020213109786
SIEMENS-ABB,,,3.567417907958063,-1.3744580093000232,,,,,,
SIEMENS-CUMMINSIND,,,,3.1522583022314827,,,,,,
ABB-CUMMINSIND,-3.2451197581820663,1.3157236057177684,,,-0.9997544823993467,1.9853512602058494,-0.31730843648427454,,,
CUMMINSIND-BOSCHLTD,,,,,,,,-4.019451250155438,-2.1290967212033918,
PIDILITIND-DEEPAKNTR,,,,,,-0.2640124122574137,,,,
DEEPAKNTR-NAVINFLUOR,,,,,-6.480712502320748,,,,,
COROMANDEL-CHAMBLFERT,,,,2.6254957054300414,0.9340684254035779,,,,,
